Ⲉⲣϣⲁⲛ	ACOND	ⲉⲣϣⲁⲛ
ⲧ︤ⲙ︥	NEG	ⲧⲙ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ϥ	PPERO	ϥ
ⲧⲱⲱⲃⲉ	V	ⲧⲱⲱⲃⲉ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲙⲟⲩⲟⲩⲧ	V	ⲙⲟⲩⲟⲩⲧ
,	PUNCT	,
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲟⲩ	PPERO	ⲟⲩ
.	PUNCT	.
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
[ⲉ	CCIRC	ⲉ
ⲧ]	ART	ⲧ
ⲙⲁⲥⲧⲓⲕ[ⲟⲩ]	N	ⲙⲁⲥⲧⲓⲅⲟⲩ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲟⲩ	PPERO	ⲟⲩ
·	PUNCT	·
ⲛ̄	PREP	ⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲉ	CCIRC	ⲉ
ϣⲁ	AAOR	ϣⲁ
ⲩ	PPERS	ⲩ
ⲥⲩⲣⲉ	V	ⲥⲩⲣⲉ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲟⲩ	PPERO	ⲟⲩ
ⲛ̄	ACONJ	ⲛ
ⲥⲉ	PPERS	ⲥⲉ
ⲛⲟϫ	V	ⲛⲟϫ
ⲟⲩ	PPERO	ⲟⲩ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ⲡ	ART	ⲡ
ⲃⲟⲗ	N	ⲃⲟⲗ
ⲛ̄	PREP	ⲛ
ⲧ	ART	ⲧ
ⲡⲟⲗⲓⲥ	N	ⲡⲟⲗⲓⲥ
.	PUNCT	.
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛⲉ	ART	ⲛⲉ
ϣⲁ	AAOR	ϣⲁ
ⲩ	PPERS	ⲩ
ⲁⲁ	V	ⲁⲁ
ⲩ	PPERS	ⲩ
ⲛⲁ	FUT	ⲛⲁ
ⲩ	PPERS	ⲩ
ⲧⲏⲣ	IMOD	ⲧⲏⲣ
ⲟⲩ	ART	ⲟⲩ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲛ̄	ART	ⲛ
ⲥⲩⲛⲁⲅⲱⲅⲏ	N	ⲥⲩⲛⲁⲅⲱⲅⲏ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲛ̄	ART	ⲛ
ⲥⲩⲛϩⲉⲇⲣⲓⲟⲛ	N	ⲥⲩⲛϩⲉⲇⲣⲓⲟⲛ
·	PUNCT	·
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲉⲧⲉ	CREL	ⲉⲧⲉ
ϣⲁ	AAOR	ϣⲁ
ⲩ	PPERS	ⲩ
ϫⲓⲧ	V	ϫⲓⲧ
ⲟⲩ	PPERO	ⲟⲩ
ⲉ	PREP	ⲉ
ⲛ	ART	ⲛ
ϩⲏⲅⲉⲙⲱⲛ	N	ϩⲏⲅⲉⲙⲱⲛ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛⲉ	ART	ⲛⲉ
ⲣⲱ	N	ⲣⲱ
ⲟⲩ	ART	ⲟⲩ
.	PUNCT	.
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ϩⲉⲛ	ART	ϩⲉⲛ
ⲛⲟϭ	N	ⲛⲟϭ
ⲛ̄	PREP	ⲛ
ϩⲓⲥⲉ	N	ϩⲓⲥⲉ
,	PUNCT	,
ϣⲁϩⲣⲁⲓ̈	ADV	ϣⲁϩⲣⲁⲓ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ⲙⲟⲩ	V	ⲙⲟⲩ
.	PUNCT	.
ⲉ	CCIRC	ⲉ
ⲛ	PPERS	ⲛ
ⲉⲓⲣⲉ	V	ⲉⲓⲣⲉ
ϭⲉ	PTC	ϭⲉ
[…..]ⲉ̣ⲁ	UNKNOWN	[…..]ⲉⲁ
ⲙⲕⲁϩ	V	ⲙⲕⲁϩ
[.....]	UNKNOWN	[.....]
ⲉⲙⲁⲧⲉ⳿	ADV	ⲉⲙⲁⲧⲉ
[.....]ⲩⲟ	UNKNOWN	[.....]ⲩⲟ
ⲉ	PREP	ⲉ
ⲙⲕⲁϩ	N	ⲙⲕⲁϩ
[ⲛⲓ]ⲙ	PINT	ⲛⲓⲙ
ⲉ	PREP	ⲉ
ϥ	PPERO	ϥ
ϩⲣⲁⲓ̈	ADV	ϩⲣⲁⲓ
ϩⲓϫⲱ	PREP	ϩⲓϫⲱ
ⲓ̈	PPERO	ⲓ
·	PUNCT	·
ⲉⲧⲃⲉ	PREP	ⲉⲧⲃⲉ
Ⲛ̣̄	ART	ⲛ
ϣⲉⲉⲣⲉ	N	ϣⲉⲉⲣⲉ
ⲇⲉ	PTC	ⲇⲉ
ϣⲏⲙ⳿	N	ϣⲏⲙ
ⲛ̄ⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ⲛ	PPERS	ⲛ
ⲥⲱⲧ︤ⲙ︥	V	ⲥⲱⲧⲙ
ⲉⲧⲃⲏⲏⲧ	PREP	ⲉⲧⲃⲏⲏⲧ
ⲟⲩ	PPERO	ⲟⲩ
·	PUNCT	·
ϫⲉ	CONJ	ϫⲉ
ⲥⲉ	PPERS	ⲥⲉ
ⲛⲁ	FUT	ⲛⲁ
ⲡⲱⲧ⳿	V	ⲡⲱⲧ
ⲉϩⲟⲩ⳯	ADV	ⲉϩⲟⲩⲛ
ⲉ	PREP	ⲉ
ⲛⲉⲩ	PPOS	ⲛⲉⲩ
ⲉⲣⲏⲩ⳿	N	ⲉⲣⲏⲩ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲟⲩⲱϣ	N	ⲟⲩⲱϣ
ⲛ	PREP	ⲛ
ⲥⲁⲣⲕⲓⲕⲟⲛ	N	ⲥⲁⲣⲕⲓⲕⲟⲛ
·	PUNCT	·
ⲙⲁ	VIMP	ⲙⲁ
ⲧⲁⲙⲟ	N	ⲧⲁⲙⲟ
ⲓ̈	PPERO	ⲓ
ⲉⲧⲃⲏⲏⲧ	PREP	ⲉⲧⲃⲏⲏⲧ
ⲟⲩ	PPERO	ⲟⲩ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲟⲩ	ART	ⲟⲩ
ⲱⲣ︤ϫ︥⳿	N	ⲱⲣϫ
ϫⲉ	CONJ	ϫⲉ
ⲉⲓ̈ⲉ	AOPT_PPERS	ⲉⲓⲉ
ⲉⲓⲙⲉ	V	ⲉⲓⲙⲉ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ϯ	PPERS	ϯ
ⲛⲁ	FUT	ⲛⲁ
ⲧⲁⲙⲱ	V	ⲧⲁⲙⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ϫⲉ	CONJ	ϫⲉ
ⲉ	CFOC	ⲉ
ⲧⲉⲧ	PPERS	ⲧⲉⲧⲛ
ⲛⲁ	FUT	ⲛⲁ
ⲣ	V	ⲣ
ⲟ᷍ⲩ	PINT	ⲟⲩ
ⲛⲁ	PREP	ⲛⲁ
ⲩ	PPERO	ⲩ
·	PUNCT	·
Ⲉⲧⲃⲉ	PREP	ⲉⲧⲃⲉ
ⲧⲁⲓ̈	PDEM	ⲧⲁⲓ
ⲇⲉ	PTC	ⲇⲉ
ⲟⲛ	ADV	ⲟⲛ
ⲛ̄ⲧⲁ	ACONJ_PPERS	ⲛⲧⲁ
ⲧⲉⲧ︤ⲛ︥	PPERS	ⲧⲉⲧⲛ
ϫⲟⲟ	V	ϫⲟⲟ
ⲥ⳿	PPERO	ⲥ
ⲉⲧⲃⲏⲏⲧ︤	PREP	ⲉⲧⲃⲏⲏⲧ
ⲥ︥	PPERO	ⲥ
ⲉ	PREP	ⲉ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲥ	PPERS	ⲥ
ⲃⲱⲕ⳿	V	ⲃⲱⲕ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ⲙⲁ⳿	N	ⲙⲁ
ⲛ̄ⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ⲧⲉⲧ︤ⲛ︥	PPERS	ⲧⲉⲧⲛ
ⲧⲟϣ︤	V	ⲧⲟϣ
ϥ︥	PPERO	ϥ
ⲛⲁ	PREP	ⲛⲁ
ⲥ	PPERO	ⲥ
ⲉ	PREP	ⲉ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲥ	PPERS	ⲥ
ⲣ̄	V	ⲣ
ⲡⲉⲥ	PPOS	ⲡⲉⲥ
ϩⲱⲃ⳿	N	ϩⲱⲃ
ⲛ̄ϩⲏⲧ︤	PREP	ⲛϩⲏⲧ
ϥ︥	PPERO	ϥ
ⲉ	CCIRC	ⲉ
ⲁ	APST	ⲁ
ⲥ	PPERS	ⲥ
ϫⲟⲟ	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
ⲛⲏ	PREP	ⲛⲏ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ϫⲉ	CONJ	ϫⲉ
ⲉϣϫⲉ	CONJ	ⲉϣϫⲉ
ⲧⲉⲧ	PPERS	ⲧⲉⲧⲛ
ⲛⲁ	FUT	ⲛⲁ
ⲛ︤ⲧ︥	V_PPERO	ⲛⲧ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ϩ︤ⲙ︥	PREP	ϩⲙ
ⲡⲉⲓ̈	PDEM	ⲡⲉⲓ
ⲙⲁ	N	ⲙⲁ
ⲉ	PREP	ⲉ
ⲡⲁⲓ̈	PDEM	ⲡⲁⲓ
ⲛ̣	NEG	ⲛ
ϯ̣	PPERS	ϯ
ⲛⲁ	FUT	ⲛⲁ
ⲣ̄ϩⲱⲃ	V	ⲣϩⲱⲃ
ⲁ[ⲛ̣]	NEG	ⲁⲛ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ϩⲱⲃ	N	ϩⲱⲃ
ⲉ	CCIRC	ⲉ
ϯ	PPERS	ϯ
ⲣ̄ϩⲱⲃ	V	ⲣϩⲱⲃ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ϥ	PPERO	ϥ
·	PUNCT	·
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲉϣⲱⲡⲉ	CONJ	ⲉϣⲱⲡⲉ
ⲙ̄ⲡ︤	ANEGPST	ⲙⲡ
ⲥ︥	PPERS	ⲥ
ⲣ̄	V	ⲣ
ϩⲛⲁ	N	ϩⲛⲁ
ⲥ⳿	PPERO	ⲥ
ⲛⲁⲙⲉ⳿	ADV	ⲛⲁⲙⲉ
·	PUNCT	·
ⲉⲓ̈ⲉ	CONJ	ⲉⲓⲉ
ⲁϫⲓ	APST	ⲁϫⲓ
ⲥ	N	ⲥ
ⲟⲛ	ADV	ⲟⲛ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲓ̈⳿	PPERO	ⲓ
ϯ	PPERS	ϯ
ⲛⲁ	FUT	ⲛⲁ
ⲧⲥⲁⲃⲱ	V	ⲧⲥⲁⲃⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ⲉⲧ	CREL	ⲉⲧ
ⲉⲧ	PPERS	ⲧⲉⲧⲛ
ⲛⲁ	FUT	ⲛⲁ
ⲁⲁ	V	ⲁⲁ
ϥ⳿	PPERO	ϥ
ⲛⲁ	PREP	ⲛⲁ
ⲥ	PPERO	ⲥ
·	PUNCT	·
Ⲛ̄ⲧⲱⲧ︤ⲛ︥	PPERI	ⲛⲧⲱⲧⲛ
ⲇⲉ	PTC	ⲇⲉ
ⲧⲏⲣ	IMOD	ⲧⲏⲣ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲉⲧⲉⲧ︤ⲛ︥ϣⲁⲛ	ACOND_PPERS	ⲉⲧⲉⲧⲛϣⲁⲛ
ϩⲱⲡ⳿	V	ϩⲱⲡ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲛ⳿	PPERO	ⲛ
ⲛ̄	PREP	ⲛ
ⲟⲩ	ART	ⲟⲩ
ϩⲱⲃ	N	ϩⲱⲃ
ⲛ̄	PREP	ⲛ
ⲕⲣⲟϥ	N	ⲕⲣⲟϥ
ϩⲁ	PREP	ϩⲁ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲧⲏⲩⲧ︤ⲛ︥	PPERO	ⲧⲏⲩⲧⲛ
ⲉ	PREP	ⲉ
ⲧ︤ⲙ︥	NEG	ⲧⲙ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲧ︤ⲛ︥	PPERS	ⲧⲛ
ⲧⲁⲙⲟ	V	ⲧⲁⲙⲟ
ⲛ⳿	PPERO	ⲛ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ϥ	PPERO	ϥ
·	PUNCT	·
ⲉ	CFOC	ⲉ
ⲧⲉⲧ︤ⲛ︥	PPERS	ⲧⲉⲧⲛ
ⲧⲟⲩⲛⲟⲥ	V	ⲧⲟⲩⲛⲟⲥ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲥⲁⲧⲁⲛⲁⲥ⳿	NPROP	ⲥⲁⲧⲁⲛⲁⲥ
ⲉϩⲣⲁⲓ̈	ADV	ⲉϩⲣⲁⲓ
ⲉϫⲱ	PREP	ⲉϫⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲙ̄ⲙⲓⲛ⳿ⲙ̄ⲙⲱ	IMOD	ⲙⲙⲓⲛⲙⲙⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
·	PUNCT	·
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲉ	CFOC	ⲉ
ⲧⲉⲧ︤ⲛ︥	PPERS	ⲧⲉⲧⲛ
ⲕⲧⲟ	V	ⲕⲧⲟ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ⲙ̄ⲙⲱ	PREP	ⲙⲙⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲛ̄	PREP	ⲛ
ⲧ	ART	ⲧ
ⲃⲟⲏⲑⲓⲁ⳿	N	ⲃⲟⲏⲑⲓⲁ
ⲙ	PREP	ⲙ
ⲡ	ART	ⲡ
ⲛⲟⲩⲧⲉ⳿	N	ⲛⲟⲩⲧⲉ
ⲙⲁⲩⲁⲧ	V	ⲙⲁⲩⲁⲧ
ⲧⲏⲩⲧ︤ⲛ︥	PPERO	ⲧⲏⲩⲧⲛ
·	PUNCT	·
ⲉⲓⲥ	PTC	ⲉⲓⲥ
ⲡ	ART	ⲡ
ϩ̄ⲗ̄ⲗⲟ⳿	N	ϩⲗⲗⲟ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲧ︤ⲛ︥ⲛⲟⲟⲩ	V	ⲧⲛⲛⲟⲟⲩ
ϥ	PPERO	ϥ
ϣⲁⲣⲱ	PREP	ϣⲁⲣⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲙ̄	PREP	ⲙ
ⲡⲉⲓ	PDEM	ⲡⲉⲓ
ⲕⲉ	ART	ⲕⲉ
ⲥⲟⲡ[.]	N	ⲥⲟⲡ[.]
ⲛ	PREP	ⲛ
ϩⲟⲥⲟ⳯	ADV	ϩⲟⲥⲟⲛ
ⲉ	CCIRC	ⲉ
ⲛ	PPERS	ⲛ
ϣ[ⲟ]ⲟⲡ	VSTAT	ϣⲟⲟⲡ
:	PUNCT	:
ⲻ	PUNCT	ⲻ
ϩⲟⲟⲩⲧ	N	ϩⲟⲟⲩⲧ
ⲉ[ⲓⲧ]ⲉ̣	CONJ	ⲉⲓⲧⲉ
ⲥϩⲓⲙⲉ	N	ⲥϩⲓⲙⲉ
ⲉⲩ̣ⲉ	AOPT_PPERS	ⲉⲩⲉ
[ⲉ]ⲓ	V	ⲉⲓ
ⲉϩⲣⲁⲓ	ADV	ⲉϩⲣⲁⲓ
ⲉϫⲱ	PREP	ⲉϫⲱ
ⲟⲩ	PPERO	ⲟⲩ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ϩⲓⲧⲙ	PREP	ϩⲓⲧⲙ
ⲡ	ART	ⲡ
ⲛⲟⲩⲧⲉ	N	ⲛⲟⲩⲧⲉ
ⲛ[ϭ]ⲓ	PTC	ⲛϭⲓ
ⲛⲉⲓ	PDEM	ⲛⲉⲓ
ⲥⲙⲟⲩ	N	ⲥⲙⲟⲩ
ⲧ[ⲏⲣ]	IMOD	ⲧⲏⲣ
ⲟⲩ	PPERO	ⲟⲩ
Ⲟⲛ	ADV	ⲟⲛ
ⲛⲓⲙ	PINT	ⲛⲓⲙ
ⲉⲧ	CREL	ⲉⲧ
ⲛⲁ	FUT	ⲛⲁ
ⲕⲱⲗⲩⲉ	V	ⲕⲱⲗⲩⲉ
ϩⲙ	PREP	ϩⲙ
ⲡⲉ	ART	ⲡⲉ
ⲟⲩⲟⲉⲓ̣ϣ	N	ⲟⲩⲟⲉⲓϣ
[ⲉ]	CREL	ⲉⲧ
ⲧⲙⲙⲁⲩ	ADV	ⲙⲙⲁⲩ
·	PUNCT	·
ⲏ	CONJ	ⲏ
ⲟⲛ	ADV	ⲟⲛ
ⲧⲉⲛⲟⲩ	ADV	ⲧⲉⲛⲟⲩ
ⲉ	PREP	ⲉ
ⲧⲙ	NEG	ⲧⲙ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲩ	PPERS	ⲩ
ⲱϣ	V	ⲱϣ
ⲛ	PREP	ⲛ
ⲛ	ART	ⲛ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ⲧⲏⲣ	IMOD	ⲧⲏⲣ
ⲟⲩ̣	ART	ⲟⲩ
ⲉⲧ	CREL	ⲉⲧ
ⲥⲏϩ	VSTAT	ⲥⲏϩ
ϩⲣⲁⲓ̈	ADV	ϩⲣⲁⲓ
ϩⲙ	PREP	ϩⲙ
ⲡ	ART	ⲡ
ϫⲱⲱⲙⲉ	N	ϫⲱⲱⲙⲉ
ⲉⲧ	CREL	ⲉⲧ
ⲙⲙⲁⲩ	ADV	ⲙⲙⲁⲩ
ⲏ	CONJ	ⲏ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲥⲏϩ	VSTAT	ⲥⲏϩ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲧⲉⲓ̈	PDEM	ⲧⲉⲓ
ⲉⲡⲓⲥⲧⲟⲗⲏ	N	ⲉⲡⲓⲥⲧⲟⲗⲏ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ̄	ART	ⲛ
ⲕⲟⲟⲩ	N	ⲕⲟⲟⲩ
ⲛⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ⲛ	PPERS	ⲛ
ⲥⲁϩ	V	ⲥⲁϩ
ⲟⲩ	PPERO	ⲟⲩ
·	PUNCT	·
ⲏ	CONJ	ⲏ
ⲛ̄ⲧⲟϥ	PPERI	ⲛⲧⲟϥ
ⲛ	ART	ⲛ
ⲉ	CREL	ⲉ
ⲧ︤ⲛ︥	PPERS	ⲧⲛ
ⲛⲁ	FUT	ⲛⲁ
ⲥⲁϩ̣	V	ⲥⲁϩ
ⲟⲩ	PPERO	ⲟⲩ
ϫⲓⲛ	PREP	ϫⲓⲛ
ⲡ	ART	ⲡ
ⲟⲟⲩ	N	ⲟⲟⲩ
ⲛ	PREP	ⲛ
ϩⲟⲟⲩ	N	ϩⲟⲟⲩ
·	PUNCT	·
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲛⲁ	FUT	ⲛⲁ
ⲕⲱⲗⲩⲉ`	V	ⲕⲱⲗⲩⲉ
ⲉ	PREP	ⲉ
ⲧⲙ	NEG	ⲧⲙ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲩ	PPERS	ⲩ
ⲟϣ	V	ⲟϣ
ⲟⲩ	PPERO	ⲟⲩ
ϩⲙ	PREP	ϩⲙ
ⲡⲉ	ART	ⲡⲉ
ⲟⲩⲟⲉⲓϣ	N	ⲟⲩⲟⲉⲓϣ
ⲉⲧ	CREL	ⲉⲧ
ⲙⲙⲁⲩ	ADV	ⲙⲙⲁⲩ
·	PUNCT	·
ⲏ̂	CONJ	ⲏ
ⲟⲛ	ADV	ⲟⲛ
ⲧⲉⲛ[ⲟⲩ]	ADV	ⲧⲉⲛⲟⲩ
ⲉⲩⲉ	AOPT_PPERS	ⲉⲩⲉ
ⲉⲓ	V	ⲉⲓ
ⲉϩ[ⲣⲁⲓ]	ADV	ⲉϩⲣⲁⲓ
ⲉϫⲱ	PREP	ⲉϫⲱ
ⲟⲩ	PPERO	ⲟⲩ
ⲛϭⲓ	PTC	ⲛϭⲓ
ⲛⲉⲓ̈	PDEM	ⲛⲉⲓ
ⲥⲁϩⲟⲩ	N	ⲥⲁϩⲟⲩ
ⲧⲏⲣ	IMOD	ⲧⲏⲣ
ⲟⲩ	PPERO	ⲟⲩ
·	PUNCT	·
ⲟⲩⲟⲛ	N	ⲟⲩⲟⲛ
Ⲇⲉ	PTC	ⲇⲉ
ⲛⲓⲙ	PINT	ⲛⲓⲙ
ⲛ	PREP	ⲛ
ⲟⲩⲟⲉⲓϣ	N	ⲟⲩⲟⲉⲓϣ
ⲛⲓⲙ	PINT	ⲛⲓⲙ
ⲉⲧ	CREL	ⲉⲧ
ⲛⲁ	FUT	ⲛⲁ
ⲥⲡⲟⲩⲇⲁⲍⲉ	V	ⲥⲡⲟⲩⲇⲁⲍⲉ
ⲉ	PREP	ⲉ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲩ	PPERS	ⲩ
ⲟϣ	V	ⲟϣ
ⲟⲩ	PPERO	ⲟⲩ
·	PUNCT	·
ⲏ̂	CONJ	ⲏ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲛⲁ	FUT	ⲛⲁ
ⲣϩ[ⲛⲁ]ⲩ	V	ⲣϩⲛⲁⲩ
ⲉ	PREP	ⲉ
ⲥⲱⲧⲙ	V	ⲥⲱⲧⲙ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲟⲩ	PPERO	ⲟⲩ
ⲉ	PREP	ⲉ
ϩ̣ⲁⲣⲉϩ	V	ϩⲁⲣⲉϩ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲟⲩ	PPERO	ⲟⲩ
ⲉ	CCIRC	ⲉ
ⲁⲁ	V	ⲁⲁ
ⲩ	PPERO	ⲩ
ⲉⲩⲉ	AOPT_PPERS	ⲉⲩⲉ
ⲉⲓ	V	ⲉⲓ
ⲉϩⲣⲁⲓ	ADV	ⲉϩⲣⲁⲓ
ⲉϫⲱ	PREP	ⲉϫⲱ
ⲟⲩ	PPERO	ⲟⲩ
ⲛ̄ϭⲓ	PTC	ⲛϭⲓ
ⲛⲉⲓ̈	PDEM	ⲛⲉⲓ
ⲥⲙⲟⲩ	V	ⲥⲙⲟⲩ
ⲧⲏⲣ̣	IMOD	ⲧⲏⲣ
ⲟ̣ⲩ̣	PPERO	ⲟⲩ
ⲉⲧⲃⲉ	PREP	ⲉⲧⲃⲉ
Ⲡⲁⲓ	PDEM	ⲡⲁⲓ
ⲟⲩ	FM	ⲟⲩ
ⲙⲟⲛⲟⲛ	FM	ⲙⲟⲛⲟⲛ
ϫⲉ	CONJ	ϫⲉ
ϯ	PPERS	ϯ
ⲛⲁ	FUT	ⲛⲁ
ϩⲱⲛ	V	ϩⲱⲛ
ⲉ	PREP	ⲉ
ⲧⲟⲟⲧ	N	ⲧⲟⲟⲧ
ⲟⲩ	PPERO	ⲟⲩ
ⲛ	PREP	ⲛ
ⲛⲉ	ART	ⲛⲉ
ⲥⲛⲏⲩ	N	ⲥⲛⲏⲩ
ⲉⲧ	CREL	ⲉⲧ
ⲟ̂	VSTAT	ⲟ
ⲛ	PREP	ⲛ
ⲟⲩ	ART	ⲟⲩ
ϩⲏ̣[ⲧ]	N	ϩⲏⲧ
ⲛ	PREP	ⲛ
ⲟⲩⲱⲧ	N	ⲟⲩⲱⲧ
ⲛⲙⲙⲁ	PREP	ⲛⲙⲙⲁ
ⲛ	PPERO	ⲛ
ⲉ	PREP	ⲉ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲩ	PPERS	ⲩ
Ϥⲓ	V	ϥⲓ
ⲡ	ART	ⲡ
ⲣⲟⲟⲩϣ	N	ⲣⲟⲟⲩϣ
ⲛ	PREP	ⲛ
ⲛ	ART	ⲛ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ⲧⲏⲣ	IMOD	ⲧⲏⲣ
ⲟⲩ	PPERO	ⲟⲩ
ⲉ	CREL	ⲉ
ⲧⲛ	PPERS	ⲧⲛ
ⲛⲁ	FUT	ⲛⲁ
ⲥⲁϩ	V	ⲥⲁϩ
ⲟⲩ	PPERO	ⲟⲩ
ⲉϩⲣⲁⲓ	ADV	ⲉϩⲣⲁⲓ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ϫ̣ⲱⲱⲙⲉ	N	ϫⲱⲱⲙⲉ
ⲉⲧ	CREL	ⲉⲧ
[ⲙⲙ]ⲁⲩ	ADV	ⲙⲙⲁⲩ
ⲙ	PREP	ⲙ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
[ⲥⲏϩ̣	VSTAT	ⲥⲏϩ
ϩⲛ]	PREP	ϩⲛ
[ⲛ	ART	ⲛ
ⲉ]ⲡⲓⲥⲧⲟⲗⲏ	N	ⲉⲡⲓⲥⲧⲟⲗⲏ
[ⲧⲏ]ⲣ	IMOD	ⲧⲏⲣ
ⲟⲩ	PPERO	ⲟⲩ
ⲁⲗⲗⲁ	CONJ	ⲁⲗⲗⲁ
ϯ	PPERS	ϯ
ⲛⲁ	FUT	ⲛⲁ
ϩⲱⲛ	V	ϩⲱⲛ
ⲟⲛ	ADV	ⲟⲛ
ⲉ	PREP	ⲉ
ⲧⲟⲟⲧ	N	ⲧⲟⲟⲧ
ⲟⲩ	PPERO	ⲟⲩ
ⲉ	PREP	ⲉ
ⲧⲣⲉ̣	ACAUS	ⲧⲣⲉ
ⲩ	PPERS	ⲩ
ϩⲁⲣⲉϩ	V	ϩⲁⲣⲉϩ
ⲉ	PREP	ⲉ
ⲛⲁ	PPOS	ⲛⲁ
ϩⲟⲉⲓⲧⲉ	N	ϩⲟⲉⲓⲧⲉ
ⲉⲛⲧ	CREL	ⲉⲛⲧ
ⲁ	APST	ⲁ
ⲓ	PPERS	ⲓ
ⲡⲁϩ	V	ⲡⲁϩ
ⲟⲩ	PPERO	ⲟⲩ
ⲛ	PREP	ⲛ
ϩⲁϩ	N	ϩⲁϩ
ⲛ	PREP	ⲛ
ⲥⲟⲡ	N	ⲥⲟⲡ
ⲉ	CCIRC	ⲉ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲁⲩ	V	ⲁⲩ
ⲙ	PREP	ⲙ
ⲡ	ART	ⲡ
ⲟϭⲉ	N	ⲟϭⲉ
ⲥⲛⲧⲉ	NUM	ⲥⲛⲧⲉ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ϩⲁⲉ	N	ϩⲁⲉ
ⲉ	CCIRC	ⲉ
ⲓ	PPERS	ⲓ
ⲙⲟⲕϩ	VSTAT	ⲙⲟⲕϩ
